name
Yukio Mishima
Karen Hesse
Katharine Kerr
Carson McCullers
A. E. van Vogt
Christopher Golden
Berkeley Breathed
Ransom Riggs
Mario Puzo
Laura Lippman
Annie Dillard
Gregory Benford
Louise Rennison
Norton Juster
Bodie Thoene
Tim Powers
Peter Mayle
Judith McNaught
Elizabeth George Speare
Tom Stoppard
Pope Benedict XVI
Jerry Pallotta
David Macaulay
John Keegan
Minette Walters
Jeanne DuPrau
Pablo Neruda
Tite Kubo
Rebecca Wells
David Lodge
Stefan Zweig
Cecelia Ahern
Jeaniene Frost
Jerry B. Jenkins
Leon Uris
Francesca Lia Block
Michael Scott
Ivan Turgenev
Robert J. Sawyer
Gilbert Morris
Isaac Bashevis Singer
Dorothy Dunnett
Stephen Chbosky
Mary Ann Shaffer
George MacDonald Fraser
Julian May
Carrie Vaughn
William Butler Yeats
Ludwig Bemelmans
Bertolt Brecht
James Howe
Jeff Lindsay
Charles Frazier
John Berendt
Jacqueline Woodson
Yuu Watase
Sinclair Lewis
Eva Ibbotson
Reginald Hill
Peter Straub
Masashi Kishimoto
Jack McDevitt
Martin H. Greenberg
John Ringo
Marissa Meyer
Lauren Oliver
Mike Mignola
Alyson Noël
Walter Isaacson
Christopher Paul Curtis
Sharon Kay Penman
Dava Sobel
Walter Farley
Greg Mortenson
Muriel Spark
Sharon Shinn
Plutarch
L. Ron Hubbard
Nick Bantock
Carol Shields
Junot Díaz
Cicero
Eric Van Lustbader
American Bible Society
Maria V. Snyder
Bernhard Schlink
Jerry Bridges
Caleb Carr
Pope John Paul II
Timothy Keller
Cecily von Ziegesar
Raymond Carver
Margery Allingham
Wallace Stegner
Christopher Stasheff
Robert Frost
Matt Christopher
Neal Shusterman
Kate Chopin
D. J. MacHale
Lao Tzu
Nevil Shute
Washington Irving
Jenny Nimmo
William Boyd
Roland Barthes
Richard K. Morgan
Eric Schlosser
Louis De Bernières
Upton Sinclair
Kingsley Amis
Sara Shepard
Michel Houellebecq
Stendhal
Mark Z. Danielewski
Ann Rule
Elizabeth Strout
Michael Moore
Kristin Cashore
Laura Hillenbrand
Joan Aiken
John McPhee
Gabriel Garcia Marquez
Steven D. Levitt
Miguel de Cervantes Saavedra
Alexandre Dumas père
William Jr. Strunk
Mitch Albom
Betty Smith
Ralph Ellison
E. Annie Proulx
Azar Nafisi
Harriet Beecher Stowe
Greg
William P. Young
Daniel Keyes
Anna Sewell
Junot Diaz
Sir Arthur Conan Doyle
Erin Morgenstern
José Saramago
John Knowles
Alexander Solzhenitsyn
John Boyne
Edith Hamilton
Laura Esquivel
Janet Fitch
Natalie Babbitt
John Grogan
Muriel Barbery
David Allen
Rebecca Skloot
Tatiana de Rosnay
Wilson Rawls
Laura Joffe Numeroff
James Frey
Walter M. Miller Jr.
Viktor E. Frankl
Thomas More
Gaston Leroux
Michael Ende
Margery Williams
Irène Némirovsky
Seth Grahame-Smith
Dale Carnegie
Boris Pasternak
Nicole Krauss
Johanna Spyri
Paul A. Hawkins
Herodotus
Jay Asher
Andy Weir
Aravind Adiga
Ellen Raskin
Rohinton Mistry
Bill Jr. Martin
Brian Selznick
Abraham Verghese
Laura Hillenbrand
Ernest Cline
Emma McLaughlin
Bird: Some Instructions on Writing and LifeAnne Lamott
Anthony Doerr
Richard Feynman
David Wroblewski
Aeschylus
Edwin A. Abbott
Ian Caldwell
Dodie Smith
Randy Pausch
Garth Stein
Alan Paton
Giovanni Boccaccio
Doris Kearns Goodwin
Marcus Aurelius
Sandra Cisneros
Mildred D. Taylor
Robert C. O'Brien
Beatrice Sparks
Benjamin Hoff
Jon Stewart
Barbara Stoler Miller
Chris Cleave
Justin Cronin
Jung Chang
Michael Shaara
Dave Pelzer
Alexander Hamilton
Lev Grossman
Thomas à Kempis
Tina Fey
Malcolm X
Henry Fielding
Matthew Pearl
Peter Høeg
Spencer Johnson
Susan Cain
Ally Condie
Sam McBratney
Lionel Shriver
Bill Bryson
Scott Lynch
Jean Rhys
Deborah Harkness
Susanna Kaysen
Nassim Nicholas Taleb
Emmuska Baroness Orczy
Marisha Pessl
Kate Mosse
Dee Brown
Kiran Desai
Judi Barrett
Jennifer Egan
